sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1045,https://www.draftguru.com.au/players/declan_keilty/1,players/D/Declan_Keilty.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Declan Keilty,1995,1995,2019,2019,2,2,2016,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1046,https://www.draftguru.com.au/players/declan_mountford/1,players/D/Declan_Mountford.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Declan Mountford,1997,1997,2017,2022,14,14,2015,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1047,https://www.draftguru.com.au/players/dennis_armfield/1,players/D/Dennis_Armfield.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Dennis Armfield,1986,1987,2008,2017,145,145,2007,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1048,https://www.draftguru.com.au/players/denver_grainger-barras/1,players/D/Denver_Grainger-Barras.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Denver Grainger-Barras,2002,2002,2021,2023,28,28,2020,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1049,https://www.draftguru.com.au/players/derek_eggmolesse-smith/1,players/D/Derek_Eggmolesse-Smith.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derek Eggmolesse-Smith,1998,1998,2019,2021,9,9,2017,Post-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1050,https://www.draftguru.com.au/players/derek_hall/1,players/D/Derek_Hall.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derek Hall,1970,1970,1993,2000,76,76,1990,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1051,https://www.draftguru.com.au/players/derek_kickett/1,players/D/Derek_Kickett.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derek Kickett,1962,1962,1989,1996,152,152,1988,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1052,https://www.draftguru.com.au/players/derek_murray/1,players/D/Derek_Murray.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derek Murray,1980,1980,1999,2002,23,23,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1053,https://www.draftguru.com.au/players/derek_wirth/1,players/D/Derek_Wirth.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derek Wirth,1978,1978,1998,1998,1,1,1995,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
1054,https://www.draftguru.com.au/players/derick_wanganeen/1,players/D/Derick_Wanganeen.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Derick Wanganeen,1991,1991,2014,2014,1,1,2010,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
