sample_index,player_url,expected_afltables_identity,child_status,base_outcome,population_outcome,population_reason,corrected_identity,recommended_disposition,visible_name,title_birth_year,retained_birth_year,retained_debut_season,retained_last_season,retained_career_games,draftguru_games,earliest_recruitment_year,earliest_recruitment_event_type,ledger_status,reason_codes,operator_verdict
1,https://www.draftguru.com.au/players/aaron_black/1,players/A/Aaron_Black.html,target_not_registered,target_unregistered,source_discrepancy_same_person,ALTERNATE_REGISTERED_IDENTITY_CORROBORATED,players/A/Aaron_Black0.html,manual_curation,Aaron Black,1990,,,,,57,2009,National,none,TARGET_NOT_REGISTERED,
2,https://www.draftguru.com.au/players/aaron_cadman/1,players/A/Aaron_Cadman.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Cadman,2004,2004,2023,2025,59,77,2022,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
3,https://www.draftguru.com.au/players/aaron_cornelius/1,players/A/Aaron_Cornelius.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Cornelius,1990,1990,2009,2013,25,25,2008,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
4,https://www.draftguru.com.au/players/aaron_davey/1,players/A/Aaron_Davey.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Davey,1983,1983,2004,2013,178,178,2003,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
5,https://www.draftguru.com.au/players/aaron_edwards/1,players/A/Aaron_Edwards.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Edwards,1984,1984,2005,2014,94,94,2002,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
6,https://www.draftguru.com.au/players/aaron_fiora/1,players/A/Aaron_Fiora.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Fiora,1981,1981,2000,2008,140,140,1999,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
7,https://www.draftguru.com.au/players/aaron_francis/1,players/A/Aaron_Francis.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Francis,1997,1997,2016,2025,84,84,2015,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
8,https://www.draftguru.com.au/players/aaron_hall/1,players/A/Aaron_Hall.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Hall,1990,1990,2012,2023,161,161,2011,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
9,https://www.draftguru.com.au/players/aaron_hamill/1,players/A/Aaron_Hamill.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Hamill,1977,1977,1996,2006,190,190,1994,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
10,https://www.draftguru.com.au/players/aaron_henneman/1,players/A/Aaron_Henneman.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Henneman,1980,1981,2000,2005,58,58,1998,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
11,https://www.draftguru.com.au/players/aaron_james/1,players/A/Aaron_James.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron James,1976,1976,1994,2002,54,54,1993,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
12,https://www.draftguru.com.au/players/aaron_joseph/1,players/A/Aaron_Joseph.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Joseph,1989,1989,2009,2013,73,73,2007,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
13,https://www.draftguru.com.au/players/aaron_keating/1,players/A/Aaron_Keating.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Keating,1974,1974,1997,1998,6,6,,,none,BIRTH_YEAR_CONSISTENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
14,https://www.draftguru.com.au/players/aaron_lord/1,players/A/Aaron_Lord.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Lord,1975,1975,1994,2003,150,150,1992,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
15,https://www.draftguru.com.au/players/aaron_mullett/1,players/A/Aaron_Mullett.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Mullett,1992,1992,2011,2018,98,98,2010,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
16,https://www.draftguru.com.au/players/aaron_naughton/1,players/A/Aaron_Naughton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Naughton,1999,1999,2018,2025,166,188,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
17,https://www.draftguru.com.au/players/aaron_rogers/1,players/A/Aaron_Rogers.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Rogers,1984,1984,2004,2004,2,2,2001,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
18,https://www.draftguru.com.au/players/aaron_sandilands/1,players/A/Aaron_Sandilands.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Sandilands,1982,1983,2003,2019,271,271,2001,Rookie,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
19,https://www.draftguru.com.au/players/aaron_shattock/1,players/A/Aaron_Shattock.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Shattock,1980,1980,2000,2006,68,68,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
20,https://www.draftguru.com.au/players/aaron_vandenberg/1,players/A/Aaron_Vandenberg.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Vandenberg,1992,1992,2015,2021,51,51,2014,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
21,https://www.draftguru.com.au/players/aaron_young/1,players/A/Aaron_Young.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aaron Young,1992,1993,2012,2019,100,100,2010,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
22,https://www.draftguru.com.au/players/adam_bentick/1,players/A/Adam_Bentick.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Bentick,1985,1985,2004,2008,68,68,2003,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
23,https://www.draftguru.com.au/players/adam_campbell/1,players/A/Adam_Campbell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Campbell,1985,1985,2006,2009,13,13,2003,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
24,https://www.draftguru.com.au/players/adam_carter/1,players/A/Adam_Carter.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Carter,1994,1994,2013,2014,7,7,2012,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
25,https://www.draftguru.com.au/players/adam_cerra/1,players/A/Adam_Cerra.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cerra,1999,1999,2018,2025,148,168,2017,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
26,https://www.draftguru.com.au/players/adam_chatfield/1,players/A/Adam_Chatfield.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Chatfield,1979,1979,2000,2000,1,1,1997,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
27,https://www.draftguru.com.au/players/adam_cockie/1,players/A/Adam_Cockie.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cockie,1989,1989,2009,2009,7,7,2008,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
28,https://www.draftguru.com.au/players/adam_cockshell/1,players/A/Adam_Cockshell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cockshell,1986,1986,2007,2007,2,2,2006,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
29,https://www.draftguru.com.au/players/adam_contessa/1,players/A/Adam_Contessa.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Contessa,1976,1977,1997,2001,45,45,1996,Rookie,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
30,https://www.draftguru.com.au/players/adam_cooney/1,players/A/Adam_Cooney.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Cooney,1985,1986,2004,2016,250,250,2003,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
31,https://www.draftguru.com.au/players/adam_garton/1,players/A/Adam_Garton.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Garton,1962,1962,1987,1988,3,3,1986,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
32,https://www.draftguru.com.au/players/adam_goodes/1,players/A/Adam_Goodes.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Goodes,1980,1980,1999,2015,372,372,1997,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
33,https://www.draftguru.com.au/players/adam_hartlett/1,players/A/Adam_Hartlett.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Hartlett,1986,1986,2007,2009,11,11,2004,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
34,https://www.draftguru.com.au/players/adam_heuskes/1,players/A/Adam_Heuskes.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Heuskes,1976,1976,1994,2000,125,125,1993,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
35,https://www.draftguru.com.au/players/adam_houlihan/1,players/A/Adam_Houlihan.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Houlihan,1978,1978,1997,2004,94,94,1994,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
36,https://www.draftguru.com.au/players/adam_hunter/1,players/A/Adam_Hunter.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Hunter,1981,1981,2000,2009,151,151,1999,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
37,https://www.draftguru.com.au/players/adam_iacobucci/1,players/A/Adam_Iacobucci.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Iacobucci,1986,1986,2005,2006,4,4,2004,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
38,https://www.draftguru.com.au/players/adam_kennedy/1,players/A/Adam_Kennedy.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Kennedy,1992,1992,2012,2023,153,153,2011,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
39,https://www.draftguru.com.au/players/adam_kingsley/1,players/A/Adam_Kingsley.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Kingsley,1975,1975,1997,2006,170,170,1996,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
40,https://www.draftguru.com.au/players/adam_lange/1,players/A/Adam_Lange.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Lange,1979,1979,1999,2002,28,28,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
41,https://www.draftguru.com.au/players/adam_marcon/1,players/A/Adam_Marcon.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Marcon,1992,1992,2016,2016,2,2,2015,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
42,https://www.draftguru.com.au/players/adam_mccarthy/1,players/A/Adam_McCarthy.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam McCarthy,1972,1972,1992,1996,30,15,,,none,BIRTH_YEAR_CONSISTENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,
43,https://www.draftguru.com.au/players/adam_mcphee/1,players/A/Adam_McPhee.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam McPhee,1982,1982,2001,2012,223,223,2000,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
44,https://www.draftguru.com.au/players/adam_morgan/1,players/A/Adam_Morgan.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Morgan,1981,1981,2002,2006,17,17,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
45,https://www.draftguru.com.au/players/adam_oxley/1,players/A/Adam_Oxley.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Oxley,1992,1992,2013,2018,34,34,2012,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
46,https://www.draftguru.com.au/players/adam_pattison/1,players/A/Adam_Pattison.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Pattison,1986,1986,2005,2010,66,66,2004,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
47,https://www.draftguru.com.au/players/adam_pickering/1,players/A/Adam_Pickering.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Pickering,1981,1981,2001,2002,7,7,1999,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
48,https://www.draftguru.com.au/players/adam_ramanauskas/1,players/A/Adam_Ramanauskas.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Ramanauskas,1980,1981,1999,2008,134,134,1998,National,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
49,https://www.draftguru.com.au/players/adam_richardson/1,players/A/Adam_Richardson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Richardson,1974,1974,2001,2001,2,2,2000,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
50,https://www.draftguru.com.au/players/adam_saad/1,players/A/Adam_Saad.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Saad,1994,1994,2015,2025,216,219,2014,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
51,https://www.draftguru.com.au/players/adam_saliba/1,players/A/Adam_Saliba.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Saliba,1972,1972,1992,1992,3,3,1990,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
52,https://www.draftguru.com.au/players/adam_schneider/1,players/A/Adam_Schneider.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Schneider,1984,1984,2003,2015,228,228,2001,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
53,https://www.draftguru.com.au/players/adam_selwood/1,players/A/Adam_Selwood.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Selwood,1984,1984,2003,2013,187,187,2002,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
54,https://www.draftguru.com.au/players/adam_simpson/1,players/A/Adam_Simpson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Simpson,1976,1976,1995,2009,306,306,1993,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
55,https://www.draftguru.com.au/players/adam_thomson/1,players/A/Adam_Thomson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Thomson,1986,1986,2005,2010,32,32,2004,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
56,https://www.draftguru.com.au/players/adam_tomlinson/1,players/A/Adam_Tomlinson.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Tomlinson,1993,1993,2012,2024,185,185,2011,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
57,https://www.draftguru.com.au/players/adam_treloar/1,players/A/Adam_Treloar.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam Treloar,1993,1993,2012,2025,258,263,2010,Pre-Draft,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
58,https://www.draftguru.com.au/players/adam_white/1,players/A/Adam_White.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adam White,1976,1976,1997,2000,44,44,1994,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
59,https://www.draftguru.com.au/players/addam_maric/1,players/A/Addam_Maric.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Addam Maric,1990,1990,2008,2012,31,31,2007,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
60,https://www.draftguru.com.au/players/adem_yze/1,players/A/Adem_Yze.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adem Yze,1977,1977,1995,2008,271,271,1994,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
61,https://www.draftguru.com.au/players/adrian_bassett/1,players/A/Adrian_Bassett.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Bassett,1967,1967,1990,1992,31,31,1989,Pre-Season,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
62,https://www.draftguru.com.au/players/adrian_burns/1,players/A/Adrian_Burns.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Burns,1971,1971,1990,1994,15,15,1988,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
63,https://www.draftguru.com.au/players/adrian_campbell/1,players/A/Adrian_Campbell.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Campbell,1969,1968,1988,1993,32,2,,,none,BIRTH_YEAR_CONSISTENT_TOLERANCE;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,
64,https://www.draftguru.com.au/players/adrian_cox/1,players/A/Adrian_Cox.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Cox,1980,1980,1999,2004,54,54,1998,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
65,https://www.draftguru.com.au/players/adrian_deluca/1,players/A/Adrian_De_Luca.html,bridged,offline_contradict,suspected_source_mislink,OTHER_CONTRADICTION:SURNAME_DIFFERENT,,manual_curation,Adrian Deluca,1982,1982,2004,2006,46,46,2003,National,none,SURNAME_DIFFERENT;BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
66,https://www.draftguru.com.au/players/adrian_fletcher/1,players/A/Adrian_Fletcher.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Fletcher,1969,1969,1989,2001,231,231,1988,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
67,https://www.draftguru.com.au/players/adrian_hickmott/1,players/A/Adrian_Hickmott.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Hickmott,1972,1972,1992,2003,184,134,,,none,BIRTH_YEAR_CONSISTENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_INCONSISTENT;CLUB_HISTORY_OVERLAPS,
68,https://www.draftguru.com.au/players/adrian_mcadam/1,players/A/Adrian_McAdam.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian McAdam,1971,1971,1993,1995,36,36,1992,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
69,https://www.draftguru.com.au/players/adrian_whitehead/1,players/A/Adrian_Whitehead.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Adrian Whitehead,1975,1975,1994,1999,63,63,1992,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
70,https://www.draftguru.com.au/players/ahmed_saad/1,players/A/Ahmed_Saad.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Ahmed Saad,1989,1989,2012,2015,33,33,2014,Rookie,none,BIRTH_YEAR_CONSISTENT;DEBUT_BEFORE_EARLIEST_RECRUITMENT;SPAN_CONTAINS_EARLIEST_RECRUITMENT_YEAR;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
71,https://www.draftguru.com.au/players/aidan_corr/1,players/A/Aidan_Corr.html,bridged,offline_strong,population_clean,OFFLINE_STRONG,,retain_bridge,Aidan Corr,1994,1994,2013,2025,172,188,2012,National,none,BIRTH_YEAR_CONSISTENT;DEBUT_NOT_BEFORE_EARLIEST_RECRUITMENT;GAMES_CONSISTENT;CLUB_HISTORY_OVERLAPS,
