draftguru_url,draftguru_name,operator_reason,rejected_afltables_target,group,global_order,pack_ordinal,decided_utc,event_club,event_club_appearance_relationship_derived,event_club_observation,retained_target_name,retained_career_start,retained_career_end,retained_career_games,v1_afldb_test_child_status,operator_notes_verbatim
https://www.draftguru.com.au/players/craig_somerville/1,Craig Somerville,different_person_wrong_href,players/C/Craig_Somerville.html,relisting,7,7,2026-09-18T07:54:16Z,Brisbane,no_senior_appearance_ever,no_senior_appearance_ever,Craig Somerville,1986,1986,8,bridged,https://en.wikipedia.org/wiki/Craig_Somerville
https://www.draftguru.com.au/players/david_sullivan/1,David Sullivan,different_person_wrong_href,players/D/David_Sullivan.html,relisting,10,10,2026-09-18T07:56:42Z,Richmond,no_senior_appearance_ever,no_senior_appearance_ever,David Sullivan,1986,1988,11,bridged,https://en.wikipedia.org/wiki/David_Sullivan_(footballer)
