coach_path,display_name,born_raw,player_href,profile_path,games_coached,raw_sha256
coaches/Mick_Malthouse.html,Mick Malthouse,17-Aug-1953,../players/M/Mick_Malthouse.html,players/M/Mick_Malthouse.html,718,4fc70adf721f02e21585efb4b83e5c27d4bebdb0f115d8756eaf42ce0ae1239a
coaches/Jock_McHale.html,Jock McHale,12-Dec-1882,../players/J/Jock_McHale.html,players/J/Jock_McHale.html,713,70d813b5c4429c5b09e2727a49d76adb1003f689bfbd8e465807c7d5b455e36d
coaches/Kevin_Sheedy.html,Kevin Sheedy,24-Dec-1947,../players/K/Kevin_Sheedy.html,players/K/Kevin_Sheedy.html,678,9900fe07c9cb114f23d5c836c2a7920d05c91c015d21c7f5d62220ebd4dd6629
coaches/Allan_Jeans.html,Allan Jeans,21-Sep-1933,../players/A/Allan_Jeans.html,players/A/Allan_Jeans.html,576,184b490d870e420aead4739c95b78249ae5b48a31bea063e6a074939438b49c3
coaches/Tom_Hafey.html,Tom Hafey,5-Aug-1931,../players/T/Tom_Hafey.html,players/T/Tom_Hafey.html,522,935623964d48a5abf0f6737118251cb87c9cba5998c280dfc31163c15574d1a9
coaches/David_Parkin.html,David Parkin,12-Sep-1942,../players/D/David_Parkin.html,players/D/David_Parkin.html,518,dc3eade583cc811ba7a4bb0180d2e888416730e962a7c9916192380c237f7bbb
coaches/Ron_Barassi0.html,Ron Barassi,27-Feb-1936,../players/R/Ron_Barassi0.html,players/R/Ron_Barassi0.html,515,420d028423f6914cc18a764e8f925560a9e35fe7e27d0a6a6be6ef6b1420ec78
coaches/Alastair_Clarkson.html,Alastair Clarkson,27-Apr-1968,../players/A/Alastair_Clarkson.html,players/A/Alastair_Clarkson.html,472,d2d7f61327ead7f1d9fce5560b25e6e150792e54b2d19fcfe621346f2fc274fc
coaches/Leigh_Matthews.html,Leigh Matthews,1-Mar-1952,../players/L/Leigh_Matthews.html,players/L/Leigh_Matthews.html,461,c5a3efd8b6193c001d4dbf58605164c6214576ed42674228bf4b77794958527d
coaches/Norm_Smith.html,Norm Smith,21-Nov-1914,../players/N/Norm_Smith.html,players/N/Norm_Smith.html,452,6e9d4944de5d6e3315d797d09f9819a4c93b744b47eb7615b011814153e09bc8
coaches/Dick_Reynolds.html,Dick Reynolds,20-Jun-1915,../players/D/Dick_Reynolds.html,players/D/Dick_Reynolds.html,415,7d99d9c34614801f6dbcf1337a19c23a0aa42c3bccc52bcfed1b356799c81856
coaches/Perce_Bentley.html,Perce Bentley,13-Dec-1906,../players/P/Perce_Bentley.html,players/P/Perce_Bentley.html,414,565abd362eaae44b4f8a5276cb04fa4720432346238b016d4ff92a42d8439360
coaches/John_Kennedy0.html,John Kennedy,29-Dec-1928,../players/J/John_Kennedy0.html,players/J/John_Kennedy0.html,412,bc9518b93c2b85f8f1ee1b5f154d56b42fdeff5b561046a8540daec6249b6958
coaches/Ross_Lyon.html,Ross Lyon,8-Nov-1966,../players/R/Ross_Lyon.html,players/R/Ross_Lyon.html,398,f97a92f9079a472e4153d0ac9725f05655b72a7842f392b75d9a07bd418e97d0
coaches/John_Worsfold.html,John Worsfold,25-Sep-1968,../players/J/John_Worsfold.html,players/J/John_Worsfold.html,388,1e3ca4c86fdea24049e94e1d4c7fa0cb9a63e130ca9ddaaa9d19d5b5f0cdaeec
coaches/Chris_Scott.html,Chris Scott,3-May-1976,../players/C/Chris_Scott.html,players/C/Chris_Scott.html,383,aab04b57ae067875b1d4174f612f55f0d99a8e5dd02d231257e9df4e261998ac
coaches/Damien_Hardwick.html,Damien Hardwick,18-Aug-1972,../players/D/Damien_Hardwick.html,players/D/Damien_Hardwick.html,378,34173d1c8753b691fa52ea2605640b80b3f6eab9f2007dee1b4c187484133796
coaches/Frank_Hughes1.html,Frank Hughes,26-Feb-1894,../players/F/Frank_Hughes1.html,players/F/Frank_Hughes1.html,378,6a4ca14eb94aac0cf7d88ebd529a87650934b2c808aa2b0b99557f0bdc2c1474
coaches/Rodney_Eade.html,Rodney Eade,4-Apr-1958,../players/R/Rodney_Eade.html,players/R/Rodney_Eade.html,377,45733b1fdcbd8962e351e9a618bc64e7d6b06844939c8aaf9aab9815ab90a1aa
coaches/Dan_Minogue.html,Dan Minogue,4-Sep-1891,../players/D/Dan_Minogue.html,players/D/Dan_Minogue.html,359,35471034a4c989d48cfa3e0f70f2da42fcc65508296840ab7b26b5549c8250c1
coaches/Robert_Walls.html,Robert Walls,21-Jul-1950,../players/R/Robert_Walls.html,players/R/Robert_Walls.html,347,05a6917b99c395012da6e4a09b241e8c41579e91f2c9f23888cf40f2fdf2b8d5
coaches/Denis_Pagan.html,Denis Pagan,24-Sep-1947,../players/D/Denis_Pagan.html,players/D/Denis_Pagan.html,344,85a75638811387a92f8ed6ce0eb4a7ef61b2810ed9212f30e819a56eca6d1049
coaches/John_Longmire.html,John Longmire,31-Dec-1970,../players/J/John_Longmire.html,players/J/John_Longmire.html,333,12f05fc01aabaabae59bdc38f3bad5176af680ad83b7e07d63360516e00de43a
coaches/John_Northey.html,John Northey,29-Jun-1943,../players/J/John_Northey.html,players/J/John_Northey.html,315,b30f3b52c4d979de9acaf685c9f90501ac1602d63a518f0b63a2658ffb3623c1
coaches/Reg_Hickey.html,Reg Hickey,27-Mar-1906,../players/R/Reg_Hickey.html,players/R/Reg_Hickey.html,304,6138e86ea4e0e65853bc12e4b1c3a9a0b21fa6ccf643cad213ef4da2234c658b
coaches/Ken_Hinkley.html,Ken Hinkley,30-Sep-1966,../players/K/Ken_Hinkley.html,players/K/Ken_Hinkley.html,297,4a11ca9fbd973bda0124088495155abc8553351469f4ea6d095902f1001e563e
coaches/Brad_Scott.html,Brad Scott,3-May-1976,../players/B/Brad_Scott.html,players/B/Brad_Scott.html,291,338eee98c22f951bde440aa748bced9005e50e49ceb58eab430ebf6977de1ad6
coaches/Mark_Thompson.html,Mark Thompson,19-Nov-1963,../players/M/Mark_Thompson.html,players/M/Mark_Thompson.html,283,2ab1445fdf8f2cba3360e4adb911d07e5758e428309e250a734b166584f25ab8
coaches/Bob_Rose.html,Bob Rose,7-Aug-1928,../players/B/Bob_Rose.html,players/B/Bob_Rose.html,282,97323641d7fff935e7ee8619a3f3836d9d3e022f4535ab6cfc3c12887c713217
coaches/John_Worrall.html,John Worrall,21-Jun-1860,,,279,7c84a0aca752831a45cea5412d9137b0c7c40cd751876030a4be2cd29c8b3e5d
coaches/Luke_Beveridge.html,Luke Beveridge,23-Aug-1970,../players/L/Luke_Beveridge.html,players/L/Luke_Beveridge.html,277,8e99d4ca06efdef394f918bb6ad947a72eced6970f56bce7d894c13bb0f72ab5
coaches/Mark_Williams2.html,Mark Williams,21-Aug-1958,../players/M/Mark_Williams2.html,players/M/Mark_Williams2.html,273,68b2ae97c4068ed8d029a458260101ed2ba557dce9bdf02f157c2043154f7b14
coaches/Phonse_Kyne.html,Phonse Kyne,29-Oct-1915,../players/P/Phonse_Kyne.html,players/P/Phonse_Kyne.html,272,c8c55a2aab8041aabc75ddd12dcb1f593e33f65f9b7ae4da0a9fad20a3b17084
coaches/Paul_Roos.html,Paul Roos,27-Jun-1963,../players/P/Paul_Roos.html,players/P/Paul_Roos.html,268,8b8c7a922a2275515fd453646ed2de2a9c3d0e5e1eaef6c85f2ce8f7a0a088ae
coaches/Bill_Stephen.html,Bill Stephen,1-Apr-1928,../players/B/Bill_Stephen.html,players/B/Bill_Stephen.html,258,fd4f94be822903dd44c97ea1ab1eddb7de7efca8c675b3294de00647f7ba2b7f
coaches/Malcolm_Blight.html,Malcolm Blight,16-Feb-1950,../players/M/Malcolm_Blight.html,players/M/Malcolm_Blight.html,250,4a572a18a20dce86da5e545479e1b7f9fb93a8886e90c1114148beab42be4e7e
coaches/Terry_Wallace.html,Terry Wallace,13-Dec-1958,../players/T/Terry_Wallace.html,players/T/Terry_Wallace.html,247,34400d385f7a67f5823186fd64f29c826cb96b250a1a864df58658730336e620
coaches/Adam_Simpson.html,Adam Simpson,16-Feb-1976,../players/A/Adam_Simpson.html,players/A/Adam_Simpson.html,242,addb7805759739929ee283713610c4b4e2518841b10d74e1e66c0a6dd010e992
coaches/Chris_Fagan.html,Chris Fagan,23-Jun-1961,,,239,1ef2c1bb4e5ec70a3ef06f25c923cbf8abde02b5fd5d790dc989370ec80f7ab7
coaches/Ted_Whitten0.html,Ted Whitten,27-Jul-1933,../players/T/Ted_Whitten0.html,players/T/Ted_Whitten0.html,228,879c26141efa31ca1ca1b722afb418c13d296248d9235db8501af8ab1fb0dfd0
coaches/Neale_Daniher.html,Neale Daniher,15-Feb-1961,../players/N/Neale_Daniher.html,players/N/Neale_Daniher.html,223,964e7246b97ccea6a7feb532a44e458ca0b2f57e61910954d10ddbbae46d7387
