player_id,display_name,afltables_profile_url
4,Mark Ricciuto,players/M/Mark_Ricciuto.html
5,Nigel Smart,players/N/Nigel_Smart.html
6,Martin McKinnon,players/M/Martin_McKinnon.html
7,Matthew Kluzek,players/M/Matthew_Kluzek.html
8,Andrew Jarman,players/A/Andrew_Jarman.html
10,Sean Wellman,players/S/Sean_Wellman.html
12,Mark Bickley,players/M/Mark_Bickley.html
13,Tony Hall,players/T/Tony_Hall.html
14,Tony Modra,players/T/Tony_Modra.html
16,Shaun Rehn,players/S/Shaun_Rehn.html
17,Chris McDermott,players/C/Chris_McDermott.html
18,Tony McGuinness,players/T/Tony_McGuinness.html
19,Matthew Connell,players/M/Matthew_Connell.html
22,Ben Hart,players/B/Ben_Hart.html
24,Greg Anderson,players/G/Greg_Anderson.html
29,Matthew Liptak,players/M/Matthew_Liptak.html
30,Andrew McLeod,players/A/Andrew_McLeod.html
34,Tyson Edwards,players/T/Tyson_Edwards.html
36,Darren Jarman,players/D/Darren_Jarman.html
37,Troy Bond,players/T/Troy_Bond.html
42,Scott Hodges,players/S/Scott_Hodges.html
43,Kane Johnson,players/K/Kane_Johnson.html
44,Peter Vardy,players/P/Peter_Vardy.html
46,Brett James,players/B/Brett_James.html
51,Simon Goodwin,players/S/Simon_Goodwin.html
53,Michael Frost,players/M/Michael_Frost.html
56,Nathan Bassett,players/N/Nathan_Bassett.html
61,Andrew Eccles,players/A/Andrew_Eccles.html
64,Ian Perrie,players/I/Ian_Perrie.html
67,Brodie Atkinson,players/B/Brodie_Atkinson.html
68,Brett Burton,players/B/Brett_Burton.html
69,David Gallagher,players/D/David_Gallagher.html
77,James Byrne,players/J/James_Byrne.html
78,Matthew Clarke,players/M/Matthew_Clarke.html
86,Evan Hewitt,players/E/Evan_Hewitt.html
90,Matthew Bode,players/M/Matthew_Bode.html
94,Andrew Bews,players/A/Andrew_Bews.html
97,Chris Scott,players/C/Chris_Scott.html
98,Justin Leppitsch,players/J/Justin_Leppitsch.html
99,Michael McLean,players/M/Michael_McLean.html
100,Nigel Lappin,players/N/Nigel_Lappin.html
101,Adrian Fletcher,players/A/Adrian_Fletcher.html
102,Michael Voss,players/M/Michael_Voss.html
104,Alastair Lynch,players/A/Alastair_Lynch.html
107,Roger Merrett,players/R/Roger_Merrett.html
108,Scott McIvor,players/S/Scott_McIvor.html
109,Damian Bourke,players/D/Damian_Bourke.html
110,Marcus Ashcroft,players/M/Marcus_Ashcroft.html
111,Shaun Hart,players/S/Shaun_Hart.html
113,Gilbert McAdam,players/G/Gilbert_McAdam.html
114,Darryl White,players/D/Darryl_White.html
118,Steven Lawrence,players/S/Steven_Lawrence.html
119,Jason Akermanis,players/J/Jason_Akermanis.html
121,Nathan Chapman,players/N/Nathan_Chapman.html
123,Craig Lambert,players/C/Craig_Lambert.html
124,Martin Leslie,
134,Daniel Bradshaw,players/D/Daniel_Bradshaw.html
135,Brett Ratten,players/B/Brett_Ratten.html
136,Stephen Silvagni,players/S/Stephen_Silvagni.html
137,Michael Sexton,players/M/Michael_Sexton.html
138,Ang Christou,players/A/Ang_Christou.html
140,Andrew McKay,players/A/Andrew_McKay.html
142,Greg Williams,players/G/Greg_Williams.html
143,Scott Camporeale,players/S/Scott_Camporeale.html
144,Anthony Koutoufides,players/A/Anthony_Koutoufides.html
146,Mil Hanna,players/M/Mil_Hanna.html
147,Fraser Brown,players/F/Fraser_Brown.html
148,Stephen Kernahan,players/S/Stephen_Kernahan.html
149,Adrian Whitehead,players/A/Adrian_Whitehead.html
150,Justin Madden,players/J/Justin_Madden.html
151,Craig Bradley,players/C/Craig_Bradley.html
153,Matthew Allan,players/M/Matthew_Allan.html
156,James Cook,players/J/James_Cook.html
157,Barry Mitchell,players/B/Barry_Mitchell.html
171,Aaron Hamill,players/A/Aaron_Hamill.html
173,Lance Whitnall,players/L/Lance_Whitnall.html
174,Mick McGuane,players/M/Mick_McGuane.html
179,Darren Hulme,players/D/Darren_Hulme.html
187,Kris Massie,players/K/Kris_Massie.html
190,Brett Backwell,players/B/Brett_Backwell.html
191,Matthew Lappin,players/M/Matthew_Lappin.html
196,Brendan Fevola,players/B/Brendan_Fevola.html
198,Michael Mansfield,players/M/Michael_Mansfield.html
201,Ryan Houlihan,players/R/Ryan_Houlihan.html
209,Jon Hassall,players/J/Jon_Hassall.html
210,Gary Pert,players/G/Gary_Pert.html
211,Scott Burns,players/S/Scott_Burns.html
212,Gavin Crosisca,players/G/Gavin_Crosisca.html
215,Paul Williams,players/P/Paul_Williams.html
216,Gavin Brown,players/G/Gavin_Brown.html
217,Nathan Buckley,players/N/Nathan_Buckley.html
218,Scott Russell,players/S/Scott_Russell.html
219,Kent Butcher,players/K/Kent_Butcher.html
223,Damian Monkhorst,players/D/Damian_Monkhorst.html
228,Saverio Rocca,players/S/Saverio_Rocca.html
234,Dermott Brereton,players/D/Dermott_Brereton.html
235,Graham Wright,players/G/Graham_Wright.html
238,Tony Francis,players/T/Tony_Francis.html
241,Andrew Schauble,players/A/Andrew_Schauble.html
243,Alex McDonald,players/A/Alex_McDonald.html
249,Simon Prestigiacomo,players/S/Simon_Prestigiacomo.html
253,Richard Osborne,players/R/Richard_Osborne.html
255,Mal Michael,players/M/Mal_Michael.html
258,Luke Godden,players/L/Luke_Godden.html
263,Jamie Tape,players/J/Jamie_Tape.html
264,Chris Tarrant,players/C/Chris_Tarrant.html
272,Nick Davis,players/N/Nick_Davis.html
274,Tyson Lane,players/T/Tyson_Lane.html
275,Paul Licuria,players/P/Paul_Licuria.html
276,Ricky Olarenshaw,players/R/Ricky_Olarenshaw.html
280,Heath Scotland,players/H/Heath_Scotland.html
283,Damien Adkins,players/D/Damien_Adkins.html
284,Leon Davis,players/L/Leon_Davis.html
285,Josh Fraser,players/J/Josh_Fraser.html
286,Ben Johnson,players/B/Ben_Johnson.html
287,Shane OBree,players/S/Shane_OBree.html
294,Ryan Lonie,players/R/Ryan_Lonie.html
295,Jarrod Molloy,players/J/Jarrod_Molloy.html
296,Carl Steinfort,players/C/Carl_Steinfort.html
297,Shane Wakelin,players/S/Shane_Wakelin.html
299,James Clement,players/J/James_Clement.html
301,Alan Didak,players/A/Alan_Didak.html
303,Gavin Wanganeen,players/G/Gavin_Wanganeen.html
304,Dustin Fletcher,players/D/Dustin_Fletcher.html
310,Mark Mercuri,players/M/Mark_Mercuri.html
312,James Hird,players/J/James_Hird.html
313,Michael Long,players/M/Michael_Long.html
314,Paul Salmon,players/P/Paul_Salmon.html
315,Scott Cummings,players/S/Scott_Cummings.html
316,Joe Misiti,players/J/Joe_Misiti.html
318,Gary ODonnell,players/G/Gary_ODonnell.html
319,Sean Denham,players/S/Sean_Denham.html
321,Mark Harvey,players/M/Mark_Harvey.html
324,Damien Hardwick,players/D/Damien_Hardwick.html
326,Mark Thompson,players/M/Mark_Thompson.html
327,Ryan OConnor,players/R/Ryan_OConnor.html
328,Che Cockatoo-Collins,players/C/Che_Cockatoo-Collins.html
331,Gary Moorcroft,players/G/Gary_Moorcroft.html
336,Matthew Lloyd,players/M/Matthew_Lloyd0.html
339,Scott Lucas,players/S/Scott_Lucas.html
343,Blake Caracella,players/B/Blake_Caracella.html
346,Jason Johnson,players/J/Jason_Johnson.html
352,Dean Solomon,players/D/Dean_Solomon.html
354,Mark Johnson,players/M/Mark_Johnson.html
355,Mark McVeigh,players/M/Mark_McVeigh.html
356,Dean Rioli,players/D/Dean_Rioli.html
357,Ilija Grgic,players/I/Ilija_Grgic.html
358,Adam Ramanauskas,players/A/Adam_Ramanauskas.html
359,Danny Jacobs,players/D/Danny_Jacobs.html
362,Aaron Henneman,players/A/Aaron_Henneman.html
365,David Hille,players/D/David_Hille.html
367,Marcus Bullen,players/M/Marcus_Bullen.html
370,Simon Hawking,
373,Martin Pike,players/M/Martin_Pike.html
374,Brad Boyd,players/B/Brad_Boyd.html
379,Stephen Paxman,players/S/Stephen_Paxman.html
380,Doug Hawkins,players/D/Doug_Hawkins.html
381,Jeff Hogg,players/J/Jeff_Hogg.html
385,Chris Johnson,players/C/Chris_Johnson0.html
387,John Barker,players/J/John_Barker.html
392,Steven Stretch,players/S/Steven_Stretch.html
406,Mick Dwyer,players/M/Mick_Dwyer.html
407,Matthew Primus,players/M/Matthew_Primus.html
410,Nick Carter,players/N/Nick_Carter.html
413,Stephen Wallis,players/S/Stephen_Wallis.html
418,Scott West,players/S/Scott_West.html
421,Brad Johnson,players/B/Brad_Johnson.html
422,Chris Grant,players/C/Chris_Grant.html
423,Jose Romero,players/J/Jose_Romero.html
424,Scott Wynd,players/S/Scott_Wynd.html
425,Leon Cameron,players/L/Leon_Cameron.html
426,Tony Liberatore,players/T/Tony_Liberatore.html
427,Luke Beveridge,players/L/Luke_Beveridge.html
428,Steven Kolyniuk,players/S/Steven_Kolyniuk.html
429,Rohan Smith,players/R/Rohan_Smith0.html
430,Daniel Hargraves,players/D/Daniel_Hargraves.html
431,Daniel Southern,players/D/Daniel_Southern.html
432,Brad Nicholson,players/B/Brad_Nicholson.html
436,Luke Darcy,players/L/Luke_Darcy.html
438,Michael Martin,players/M/Michael_Martin.html
451,Paul Hudson,players/P/Paul_Hudson.html
452,Nathan Brown,players/N/Nathan_Brown1.html
454,Brett Montgomery,players/B/Brett_Montgomery.html
458,Paul Dooley,players/P/Paul_Dooley.html
461,Nicky Winmar,players/N/Nicky_Winmar.html
464,Kingsley Hunter,players/K/Kingsley_Hunter.html
465,Nathan Eagleton,players/N/Nathan_Eagleton.html
468,Robert Murphy,players/R/Robert_Murphy.html
469,Luke Penny,players/L/Luke_Penny.html
471,Lindsay Gilbee,players/L/Lindsay_Gilbee.html
473,Daniel Giansiracusa,players/D/Daniel_Giansiracusa.html
475,Jason Norrish,players/J/Jason_Norrish.html
477,Dale Kickett,players/D/Dale_Kickett.html
478,Peter Mann,players/P/Peter_Mann.html
481,Ben Allan,players/B/Ben_Allan.html
485,Winston Abraham,players/W/Winston_Abraham.html
486,Peter Bell,players/P/Peter_Bell0.html
497,Anthony Jones,players/A/Anthony_Jones.html
502,Jeff White,players/J/Jeff_White.html
503,John Hutton,players/J/John_Hutton.html
504,Shaun McManus,players/S/Shaun_McManus.html
505,Neil Mildenhall,players/N/Neil_Mildenhall.html
508,Craig Callaghan,players/C/Craig_Callaghan.html
510,Daniel Bandy,players/D/Daniel_Bandy.html
514,Greg Harding,players/G/Greg_Harding.html
515,Clive Waterhouse,players/C/Clive_Waterhouse.html
517,Steven Koops,players/S/Steven_Koops.html
518,Luke Toia,players/L/Luke_Toia.html
520,Heath Black,players/H/Heath_Black.html
523,Jess Sinclair,players/J/Jess_Sinclair.html
525,Chris Bond,players/C/Chris_Bond.html
528,Stuart Anderson,players/S/Stuart_Anderson.html
533,Garth Taylor,players/G/Garth_Taylor.html
536,Andrew Shipp,players/A/Andrew_Shipp.html
539,Leigh Brown,players/L/Leigh_Brown.html
540,Troy Cook,players/T/Troy_Cook.html
542,Paul Hasleby,players/P/Paul_Hasleby.html
543,Troy Longmuir,players/T/Troy_Longmuir.html
544,Matthew Pavlich,players/M/Matthew_Pavlich.html
549,Dion Woods,players/D/Dion_Woods.html
550,Daniel Metropolis,players/D/Daniel_Metropolis.html
551,Adam McPhee,players/A/Adam_McPhee.html
556,Ben Graham,players/B/Ben_Graham.html
557,Leigh Colbert,players/L/Leigh_Colbert.html
558,Tim McGrath,players/T/Tim_McGrath.html
559,Ken Hinkley,players/K/Ken_Hinkley.html
560,Peter Riccardi,players/P/Peter_Riccardi.html
561,Liam Pickering,players/L/Liam_Pickering.html
562,Brenton Sanderson,players/B/Brenton_Sanderson.html
564,Bill Brownless,players/B/Bill_Brownless.html
565,Paul Couch,players/P/Paul_Couch.html
567,Gary Ablett Snr,players/G/Gary_Ablett0.html
574,Aaron Lord,players/A/Aaron_Lord.html
577,Garry Hocking,players/G/Garry_Hocking.html
582,Craig Biddiscombe,players/C/Craig_Biddiscombe.html
584,Barry Stoneham,players/B/Barry_Stoneham.html
587,Steven King,players/S/Steven_King.html
588,Glenn Kilpatrick,players/G/Glenn_Kilpatrick.html
590,Darren Milburn,players/D/Darren_Milburn.html
593,Adam Houlihan,players/A/Adam_Houlihan.html
596,Brett Spinks,players/B/Brett_Spinks.html
597,Tim Finocchiaro,players/T/Tim_Finocchiaro.html
599,James Rahilly,players/J/James_Rahilly.html
604,Matthew Scarlett,players/M/Matthew_Scarlett.html
605,Simon Arnott,players/S/Simon_Arnott.html
608,Tom Harley,players/T/Tom_Harley.html
611,David Spriggs,players/D/David_Spriggs.html
614,Paul Chapman,players/P/Paul_Chapman.html
615,Cameron Mooney,players/C/Cameron_Mooney.html
616,Joel Corey,players/J/Joel_Corey.html
617,Cameron Ling,players/C/Cameron_Ling.html
619,Anthony Banik,players/A/Anthony_Banik.html
620,Mitchell White,players/M/Mitchell_White.html
621,Corey Enright,players/C/Corey_Enright.html
625,Andrew Collins,players/A/Andrew_Collins0.html
628,Mark Graham,players/M/Mark_Graham.html
630,Darrin Pritchard,players/D/Darrin_Pritchard.html
631,Rayden Tallis,players/R/Rayden_Tallis.html
632,Jason Dunstall,players/J/Jason_Dunstall.html
633,Shane Crawford,players/S/Shane_Crawford.html
636,John Platten,players/J/John_Platten.html
637,Nick Holland,players/N/Nick_Holland.html
639,Chris Langford,players/C/Chris_Langford.html
641,Paul Dear,players/P/Paul_Dear.html
646,Simon Crawshay,players/S/Simon_Crawshay.html
648,Daniel Harford,players/D/Daniel_Harford.html
649,Daniel Chick,players/D/Daniel_Chick.html
650,Darren Kappler,players/D/Darren_Kappler.html
651,Craig Treleven,players/C/Craig_Treleven.html
654,Jade Rawlings,players/J/Jade_Rawlings.html
655,Angelo Lekkas,players/A/Angelo_Lekkas.html
656,Justin Crawford,players/J/Justin_Crawford.html
657,Brad Scott,players/B/Brad_Scott.html
659,Jonathan Hay,players/J/Jonathan_Hay.html
660,Trent Croad,players/T/Trent_Croad.html
661,Brad Lloyd,players/B/Brad_Lloyd.html
662,Nathan Thompson,players/N/Nathan_Thompson.html
667,Richard Vandenberg,players/R/Richard_Vandenberg.html
