source_key,season,position,player,club,is_captain,is_vice_captain
22under22:2015:ic:4,2015,I/C,Devon Smith,Greater Western Sydney,0,0
22under22:2016:b:1,2016,B,Rory Laird,Adelaide,0,0
22under22:2016:b:2,2016,B,Jacob Weitering,Carlton,0,0
22under22:2016:b:3,2016,B,Sam Docherty,Carlton,0,0
22under22:2016:hb:1,2016,HB,Callum Mills,Sydney,0,0
22under22:2016:hb:2,2016,HB,Jake Lever,Adelaide,0,0
22under22:2016:hb:3,2016,HB,Zac Williams,Greater Western Sydney,0,0
22under22:2016:c:1,2016,C,Zach Merrett,Essendon,0,1
22under22:2016:c:2,2016,C,Patrick Cripps,Carlton,0,0
22under22:2016:c:3,2016,C,Stephen Coniglio,Greater Western Sydney,0,0
22under22:2016:hf:1,2016,HF,Isaac Heeney,Sydney,0,0
22under22:2016:hf:2,2016,HF,Jesse Hogan,Melbourne,0,0
22under22:2016:hf:3,2016,HF,Christian Petracca,Melbourne,0,0
22under22:2016:f:1,2016,F,Jake Stringer,Western Bulldogs,0,0
22under22:2016:f:2,2016,F,Joe Daniher,Essendon,0,0
22under22:2016:f:3,2016,F,Darcy Moore,Collingwood,0,0
22under22:2016:r:1,2016,R,Brodie Grundy,Collingwood,0,0
22under22:2016:r:2,2016,R,Marcus Bontempelli,Western Bulldogs,1,0
22under22:2016:r:3,2016,R,Jack Viney,Melbourne,0,0
22under22:2016:ic:1,2016,I/C,Jack Martin,Gold Coast,0,0
22under22:2016:ic:2,2016,I/C,Tim Membrey,St Kilda,0,0
22under22:2016:ic:3,2016,I/C,Ollie Wines,Port Adelaide,0,0
22under22:2016:ic:4,2016,I/C,Lachie Hunter,Western Bulldogs,0,0
22under22:2017:b:1,2017,B,Andrew McGrath,Essendon,0,0
22under22:2017:b:2,2017,B,Harris Andrews,Brisbane Lions,0,0
22under22:2017:b:3,2017,B,Callum Mills,Sydney,0,0
22under22:2017:hb:1,2017,HB,Jayden Hunt,Melbourne,0,0
22under22:2017:hb:2,2017,HB,Jake Lever,Adelaide,0,0
22under22:2017:hb:3,2017,HB,Ryan Burton,Hawthorn,0,0
22under22:2017:c:1,2017,C,Marcus Bontempelli,Western Bulldogs,1,0
22under22:2017:c:2,2017,C,Clayton Oliver,Melbourne,0,0
22under22:2017:c:3,2017,C,Josh Kelly,Greater Western Sydney,0,0
22under22:2017:hf:1,2017,HF,Jack Billings,St Kilda,0,0
22under22:2017:hf:2,2017,HF,Charlie Curnow,Carlton,0,0
22under22:2017:hf:3,2017,HF,Jack Martin,Gold Coast,0,0
22under22:2017:f:1,2017,F,Orazio Fantasia,Essendon,0,0
22under22:2017:f:2,2017,F,Eric Hipwood,Brisbane Lions,0,0
22under22:2017:f:3,2017,F,Tom Papley,Sydney,0,0
22under22:2017:r:1,2017,R,Peter Wright,Gold Coast,0,0
22under22:2017:r:2,2017,R,Zach Merrett,Essendon,0,1
22under22:2017:r:3,2017,R,Matt Crouch,Adelaide,0,0
22under22:2017:ic:1,2017,I/C,James Sicily,Hawthorn,0,0
22under22:2017:ic:2,2017,I/C,Isaac Heeney,Sydney,0,0
22under22:2017:ic:3,2017,I/C,Ollie Wines,Port Adelaide,0,0
22under22:2017:ic:4,2017,I/C,Daniel Rioli,Richmond,0,0
22under22:2018:b:1,2018,B,Alex Witherden,Brisbane Lions,0,0
22under22:2018:b:2,2018,B,Harris Andrews,Brisbane Lions,0,0
22under22:2018:b:3,2018,B,Andrew McGrath,Essendon,0,0
22under22:2018:hb:1,2018,HB,Conor McKenna,Essendon,0,0
22under22:2018:hb:2,2018,HB,Tom Doedee,Adelaide,0,0
22under22:2018:hb:3,2018,HB,Jayden Short,Richmond,0,0
22under22:2018:c:1,2018,C,Angus Brayshaw,Melbourne,0,0
22under22:2018:c:2,2018,C,Clayton Oliver,Melbourne,0,1
22under22:2018:c:3,2018,C,Isaac Heeney,Sydney,0,0
22under22:2018:hf:1,2018,HF,Jade Gresham,St Kilda,0,0
22under22:2018:hf:2,2018,HF,Charlie Curnow,Carlton,0,0
22under22:2018:hf:3,2018,HF,Jordan De Goey,Collingwood,0,0
22under22:2018:f:1,2018,F,Ben Ronke,Sydney,0,0
22under22:2018:f:2,2018,F,Eric Hipwood,Brisbane Lions,0,0
22under22:2018:f:3,2018,F,Jaidyn Stephenson,Collingwood,0,0
22under22:2018:r:1,2018,R,Sean Darcy,Fremantle,0,0
22under22:2018:r:2,2018,R,Marcus Bontempelli,Western Bulldogs,1,0
22under22:2018:r:3,2018,R,Zach Merrett,Essendon,0,0
22under22:2018:ic:1,2018,I/C,Ed Langdon,Fremantle,0,0
22under22:2018:ic:2,2018,I/C,Christian Petracca,Melbourne,0,0
22under22:2018:ic:3,2018,I/C,Tom Phillips,Collingwood,0,0
22under22:2018:ic:4,2018,I/C,Dan Butler,Richmond,0,0
22under22:2019:b:1,2019,B,Sydney Stack,Richmond,0,0
22under22:2019:b:2,2019,B,Harris Andrews,Brisbane Lions,1,0
22under22:2019:b:3,2019,B,Callum Mills,Sydney,0,0
22under22:2019:hb:1,2019,HB,Alex Witherden,Brisbane Lions,0,0
22under22:2019:hb:2,2019,HB,Jacob Weitering,Carlton,0,0
22under22:2019:hb:3,2019,HB,Dan Houston,Port Adelaide,0,0
22under22:2019:c:1,2019,C,Hugh McCluggage,Brisbane Lions,0,0
22under22:2019:c:2,2019,C,Clayton Oliver,Melbourne,0,0
22under22:2019:c:3,2019,C,Sam Walsh,Carlton,0,0
22under22:2019:hf:1,2019,HF,Connor Rozee,Port Adelaide,0,0
22under22:2019:hf:2,2019,HF,Eric Hipwood,Brisbane Lions,0,0
22under22:2019:hf:3,2019,HF,Liam Ryan,West Coast,0,0
22under22:2019:f:1,2019,F,Jade Gresham,St Kilda,0,0
22under22:2019:f:2,2019,F,Aaron Naughton,Western Bulldogs,0,0
22under22:2019:f:3,2019,F,Harry McKay,Carlton,0,0
22under22:2019:r:1,2019,R,Tim English,Western Bulldogs,0,0
22under22:2019:r:2,2019,R,Tim Taranto,Greater Western Sydney,0,0
22under22:2019:r:3,2019,R,Josh Dunkley,Western Bulldogs,0,1
22under22:2019:ic:1,2019,I/C,Wayne Milera,Adelaide,0,0
22under22:2019:ic:2,2019,I/C,James Worpel,Hawthorn,0,0
22under22:2019:ic:3,2019,I/C,Andrew McGrath,Essendon,0,0
22under22:2019:ic:4,2019,I/C,Cameron Zurhaar,North Melbourne,0,0
22under22:2020:b:1,2020,B,Jack Lukosius,Gold Coast,0,0
22under22:2020:b:2,2020,B,Jacob Weitering,Carlton,0,1
22under22:2020:b:3,2020,B,Jordan Ridley,Essendon,0,0
22under22:2020:hb:1,2020,HB,Hunter Clark,St Kilda,0,0
22under22:2020:hb:2,2020,HB,Noah Balta,Richmond,0,0
22under22:2020:hb:3,2020,HB,Liam Baker,Richmond,0,0
22under22:2020:c:1,2020,C,Hugh McCluggage,Brisbane Lions,0,0
22under22:2020:c:2,2020,C,Andrew McGrath,Essendon,1,0
22under22:2020:c:3,2020,C,Sam Walsh,Carlton,0,0
22under22:2020:hf:1,2020,HF,Zak Butters,Port Adelaide,0,0
22under22:2020:hf:2,2020,HF,Aaron Naughton,Western Bulldogs,0,0
22under22:2020:hf:3,2020,HF,Gryan Miers,Geelong,0,0
22under22:2020:f:1,2020,F,Izak Rankine,Gold Coast,0,0
22under22:2020:f:2,2020,F,Max King,St Kilda,0,0
22under22:2020:f:3,2020,F,Josh Daicos,Collingwood,0,0
22under22:2020:r:1,2020,R,Sean Darcy,Fremantle,0,0
22under22:2020:r:2,2020,R,Bailey Smith,Western Bulldogs,0,0
22under22:2020:r:3,2020,R,Tim Taranto,Greater Western Sydney,0,0
22under22:2020:ic:1,2020,I/C,Nick Coffield,St Kilda,0,0
22under22:2020:ic:2,2020,I/C,Andrew Brayshaw,Fremantle,0,0
22under22:2020:ic:3,2020,I/C,Adam Cerra,Fremantle,0,0
22under22:2020:ic:4,2020,I/C,Ben King,Gold Coast,0,0
22under22:2021:b:1,2021,B,Brandon Starcevich,Brisbane Lions,0,0
22under22:2021:b:2,2021,B,Sam Taylor,Greater Western Sydney,0,0
22under22:2021:b:3,2021,B,Wil Powell,Gold Coast,0,0
22under22:2021:hb:1,2021,HB,Changkuoth Jiath,Hawthorn,0,0
